issues.name_english,name_english,url
Municipal Landfill Standards,U.S. Environmental Protection Agency Research and Analysis,https://www.epa.gov/smm/advancing-sustainable-materials-management-facts-and-figures
Municipal Nutrient Removal,U.S. Environmental Protection Agency Regulatory Background,https://www.epa.gov/laws-regulations/summary-clean-water-act
Municipal Nutrient Removal,Municipal Nutrient Removal Technologies Reference Document - Volume 1,https://nepis.epa.gov/Exe/ZyNET.exe/P100GE8B.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000033%5CP100GE8B.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Municipal Nutrient Removal,Municipal Nutrient Removal Technologies Reference Document - Volume 2,https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=P100PJ73.txt
NOx Emission Controls for Power Plants,U.S. Environmental Protection Agency Regulatory Background,https://www3.epa.gov/region1/airquality/nox.html
NOx Emission Controls for Power Plants,Economic Impact Analysis for Proposed Revision of Standards of Performance,https://nepis.epa.gov/Exe/ZyNET.exe/9100911O.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000023%5C9100911O.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL#
Non-road Diesel Emissions Control,U.S. Environmental Protection Agency Regulatory Background,https://www3.epa.gov/otaq/nonroad-diesel.htm#regs
Non-road Diesel Emissions Control,U.S. Environmental Protection Agency Research and Analysis,http://www.gpo.gov/fdsys/pkg/FR-2012-08-16/pdf/2012-16806.pdf
Secondary or Advanced Wastewater Treatment,U.S. Environmental Protection Agency Regulatory Background,https://www.epa.gov/eg
Secondary or Advanced Wastewater Treatment,Report on the Performance of Secondary Treatment Technology,http://www.epa.gov/npdes/pubs/npdes_secondary_treatment_report_march2013.pdf
Secondary or Advanced Wastewater Treatment,Decision Memorandum Regarding Non-uniform Secondary Treatment Standards,http://www.epa.gov/npdes/pubs/ow_shapiro_nrdcpetition.pdf
Universal Waste,U.S. Environmental Protection Agency Regulatory Background,https://archive.epa.gov/epawaste/hazard/web/html/laws-2.html
Universal Waste,U.S. Environmental Protection Agency Research and Analysis,https://www.epa.gov/hw/universal-waste
